dataset,embryo,source_motion,seconds,gt_nodes,C0_nodes,C0_matched,gt_edges,endpoints_present,candidate_edges,candidate_gt_edges,crowded_endpoint_edges,missed_candidate_edges_crowded,mitotic_endpoint_edges,missed_candidate_edges_mitotic,valid_HOCT_regions,novel_peaks,union_matched,new_peak_matched_nodes,new_peak_new_GT_recovery,union_C0_GT_matches_lost,official_local_candidate_feasible,exact_id_candidate_divisions,oracle_scope,evaluation_only
44b6_0113de3b,44b6,6bba,7.383041609000429,52,25650,49,50,48,108469,48,0,0,0,0,23162,3777,52,7,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_4aa14c89,6bba,44b6,2.011066362998463,707,7105,692,681,662,13038,661,0,0,0,0,6147,3386,706,80,14,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_4f99ce20,6bba,44b6,2.2678934289997414,1057,5382,1049,1010,1001,9431,1001,0,0,4,0,4798,2498,1056,96,7,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_4ffd3da3,6bba,44b6,8.894857197999954,706,20132,688,689,665,42013,664,0,0,6,1,15580,8812,705,107,17,0,3,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_55b7eebe,6bba,44b6,1.683861629000603,705,4569,704,688,686,6300,686,0,0,2,0,4315,1057,704,24,0,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_55c70843,6bba,44b6,10.380243855001027,490,37687,463,467,434,133927,423,14,0,0,0,28706,17936,473,73,10,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_57b7cc1e,6bba,44b6,36.720009564000065,1659,76149,1538,1592,1441,239126,1399,33,1,5,1,53608,42854,1629,403,91,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_5a4d9360,6bba,44b6,1.503671721999126,747,5550,743,722,717,9480,717,0,0,0,0,4815,1728,747,79,4,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_5b28472a,6bba,44b6,1.6834844120003254,737,5838,728,724,715,8446,715,0,0,0,0,5460,2014,735,80,7,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_5c039895,6bba,44b6,3.436551226001029,1174,7900,1172,1145,1142,11987,1141,0,0,6,0,7325,2551,1173,62,1,0,3,3,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_5c824876,6bba,44b6,7.8704198860014,1170,25375,1156,1130,1114,59691,1114,0,0,2,0,22723,6971,1165,75,9,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_5dfe9ad1,6bba,44b6,7.575179177001701,1542,29772,1508,1487,1451,66788,1449,2,0,0,0,27700,6130,1523,69,15,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_5f89039d,6bba,44b6,1.2805129759999545,904,4426,904,885,885,5467,885,0,0,0,0,4189,715,904,36,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_61dd1e0d,6bba,44b6,2.5318041520004044,558,9584,551,543,534,16973,533,0,0,0,0,8235,3152,554,34,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_61ecbe65,6bba,44b6,2.0072878089995356,640,5525,637,614,609,8677,609,0,0,2,0,4701,2263,637,52,0,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_6321a359,6bba,44b6,1.814979527000105,827,4557,817,798,785,6384,785,0,0,2,0,4153,2780,827,64,10,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_6479435d,6bba,44b6,6.4689018039989605,617,24338,554,580,507,67276,497,1,0,0,0,19961,13123,583,94,29,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_67ebd073,6bba,44b6,5.091000424999947,462,15831,448,438,416,41768,411,0,0,1,0,13684,9282,461,104,13,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_6ca87370,6bba,44b6,2.2113803759984876,1081,6371,1073,1052,1042,12395,1041,0,0,1,0,5364,2627,1081,86,8,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_6db0e9b4,6bba,44b6,6.770037812999362,449,25525,449,440,440,68791,440,0,0,0,0,20332,12290,449,43,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_6feb10f0,6bba,44b6,3.4882722570000624,1368,11830,1202,1343,1143,22765,1137,0,0,0,0,8989,6184,1234,89,32,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_6feeb0b1,6bba,44b6,1.9870146749999549,1389,6858,1374,1343,1325,12342,1325,0,0,0,0,6241,2697,1386,100,12,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_705ec2c9,6bba,44b6,2.2530022299997654,596,5896,585,562,551,10258,550,0,0,2,0,4884,4249,591,68,6,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_718b21f9,6bba,44b6,1.2122509790006006,661,4107,658,652,649,5036,649,0,0,0,0,3953,650,658,29,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_74686d6a,6bba,44b6,10.645313979001003,586,26522,586,576,576,66782,574,3,0,4,0,21670,11385,586,44,0,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_767a1e17,6bba,44b6,12.99882242700005,718,47923,678,658,612,159168,599,2,0,0,0,36781,22880,714,137,36,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_76db78c1,6bba,44b6,1.3128605089987104,617,4648,617,604,604,6118,604,0,0,0,0,4369,1131,617,21,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_784a78c9,6bba,44b6,4.244455044999995,1788,12722,1782,1739,1732,22288,1732,0,0,2,0,11394,2986,1788,48,6,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_786893ac,6bba,44b6,28.09145921900017,1465,58409,1404,1395,1312,194173,1283,49,0,3,0,46764,32874,1444,264,40,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_789f8168,6bba,44b6,2.842521594999198,713,10679,712,681,680,24640,680,2,0,0,0,9342,3851,713,72,1,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_78a7bd97,6bba,44b6,14.79648085900044,886,39035,852,832,790,130089,781,7,0,3,1,28229,17505,881,122,29,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_7af54fde,6bba,44b6,4.073004870999284,1131,10107,1106,1092,1064,19435,1062,2,0,4,1,8751,4915,1130,148,24,0,2,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_7b5d3b2c,6bba,44b6,1.5141535139991902,565,5477,560,555,550,7605,550,0,0,0,0,4983,1585,565,22,5,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_7d3058ae,6bba,44b6,3.043649892999383,1200,7460,1199,1173,1171,11642,1171,0,0,3,0,6938,2270,1200,87,1,0,2,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_7f87b3d8,6bba,44b6,4.589118588999554,1000,9372,991,934,923,22899,921,0,0,5,0,7900,5379,999,91,8,0,3,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_80d12824,6bba,44b6,2.7838208379998832,680,8424,662,654,631,16937,631,0,0,2,0,7652,3277,665,75,3,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_825bd1c6,6bba,44b6,2.002633230998981,968,6885,958,930,918,14595,914,0,0,0,0,5996,2792,959,73,1,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_87289e13,6bba,44b6,4.434553025999776,724,14017,720,699,695,35751,690,0,0,1,0,12685,2709,724,56,4,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_8b7818bf,6bba,44b6,2.349609884999154,741,5656,741,725,725,8830,725,0,0,4,0,5193,2284,741,46,0,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_907271db,6bba,44b6,2.3395614879991626,945,6861,940,921,916,10409,916,0,0,1,0,6444,2046,943,23,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_91951b3a,6bba,44b6,3.024450226999761,1188,11408,1185,1148,1142,20949,1142,0,0,0,0,9871,3221,1188,83,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_96833384,6bba,44b6,1.4498850109994237,758,4764,746,721,706,6568,706,0,0,0,0,4391,1613,754,38,8,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_969618f6,6bba,44b6,6.5977165320000495,679,15619,674,658,653,32385,653,0,0,4,0,12263,6802,679,36,5,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_971fa5e0,6bba,44b6,1.45898466700055,792,4994,792,767,767,8007,767,0,0,0,0,4547,1425,792,57,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_9a41d029,6bba,44b6,7.257328739999139,1401,18420,1379,1353,1325,49163,1324,0,0,4,0,15123,5433,1401,131,22,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_9e23430b,6bba,44b6,2.6592700480014173,914,7483,900,891,873,13758,869,0,0,2,0,6230,3353,904,57,4,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_a5e926bb,6bba,44b6,2.072352918999968,741,7970,739,698,695,15898,695,0,0,0,0,6893,2662,741,83,2,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_a90a0b9c,6bba,44b6,8.75033130600059,1147,31250,1025,1112,960,96729,934,18,1,0,0,27028,17213,1106,277,81,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_ab78413d,6bba,44b6,5.267176257999381,1179,13533,1049,1138,984,26271,970,4,0,3,0,10247,8121,1084,116,35,0,2,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_acd782a8,6bba,44b6,5.079918851999537,356,19831,351,330,324,50272,322,0,0,0,0,16630,5564,356,47,5,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_ae82a791,6bba,44b6,2.031650863998948,1495,7130,1492,1471,1468,11351,1467,0,0,0,0,6602,2208,1495,87,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_aeee7805,6bba,44b6,1.94571747199916,795,4950,792,768,764,6416,764,0,0,2,0,4641,1723,795,28,3,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_af149c94,6bba,44b6,2.3558880939999653,1350,7815,1323,1317,1285,12492,1283,0,0,0,0,7077,2411,1336,70,13,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_afb141ff,6bba,44b6,3.3813132100003713,654,5573,654,626,626,10391,625,0,0,8,1,4884,2942,654,46,0,0,3,3,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_b1ae37b9,6bba,44b6,6.617693741998664,612,22942,602,579,569,85778,564,6,0,0,0,17869,7550,612,59,10,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_b204cac7,6bba,44b6,2.3194741789993714,826,5391,814,811,797,7612,797,0,0,3,0,4976,1318,821,51,7,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_b329af44,6bba,44b6,22.9010796750008,1316,64929,1268,1268,1213,255185,1212,14,0,1,0,49352,20533,1311,148,43,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_b693381b,6bba,44b6,1.7388582900002802,983,6138,980,935,931,11108,931,0,0,0,0,5496,2547,983,89,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_bb9f20c3,6bba,44b6,10.889134864999505,1925,22931,1902,1879,1848,60743,1845,11,0,5,0,20684,4716,1920,145,17,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_bbb708ca,6bba,44b6,1.8213816750012484,892,6537,888,861,855,10768,855,0,0,0,0,5387,3856,891,59,3,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_c27cba08,6bba,44b6,1.7608602350010187,517,6388,510,493,483,10213,483,0,0,0,0,5857,2277,516,28,6,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_c328f2fd,6bba,44b6,11.787530465999225,511,31074,471,500,456,95300,449,9,0,3,2,27733,7774,477,62,6,0,1,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_c73a1d11,6bba,44b6,6.563024480999957,737,24050,644,710,593,66595,577,0,0,0,0,18490,10863,696,137,52,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_cdcfe533,6bba,44b6,14.41159111199886,1419,28332,1418,1348,1346,64389,1345,0,0,7,0,26901,3696,1419,53,1,0,4,3,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_cf35214c,6bba,44b6,8.779768322001473,842,35110,842,817,817,74396,816,0,0,0,0,33287,5983,842,22,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_cff5865f,6bba,44b6,12.045562531000542,1571,47071,1560,1501,1489,124535,1483,3,0,0,0,42224,7542,1571,84,11,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_d0fc38b5,6bba,44b6,1.613187877999735,835,5722,835,813,813,8311,813,0,0,0,0,5218,2029,835,46,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_d1acb6ff,6bba,44b6,5.37320823400114,681,16237,664,643,622,38242,621,0,0,2,0,11652,8243,680,94,16,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_d2b9fc0c,6bba,44b6,7.452257864000785,944,18818,944,921,921,42473,921,0,0,4,0,17824,2195,944,39,0,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_d3da753b,6bba,44b6,5.2553481760005525,887,15964,886,857,855,38555,852,0,0,2,0,14376,2999,886,58,0,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_d5eae175,6bba,44b6,1.2808605210011592,528,4129,528,519,519,5468,519,0,0,0,0,3979,770,528,27,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_d6ecebbb,6bba,44b6,1.711008166999818,886,6064,880,862,855,9484,854,0,0,0,0,5337,2765,884,47,4,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_d82a4fc6,6bba,44b6,7.780490937999275,545,28866,539,530,520,85271,520,12,0,0,0,25746,9123,544,55,5,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_debd7bfa,6bba,44b6,6.080624643000192,766,11795,760,729,723,27554,723,0,0,7,0,9545,4080,766,75,6,0,3,3,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_df673a83,6bba,44b6,10.304679987999407,668,21988,665,654,649,46174,649,2,0,6,0,17647,6198,667,43,2,0,3,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_e16ffc58,6bba,44b6,2.0731315960001666,964,5937,963,942,940,8834,940,0,0,2,0,5523,2124,964,51,1,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_e5e44988,6bba,44b6,1.4701560559988138,666,5169,659,634,625,8596,625,0,0,0,0,4652,1646,661,59,2,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_ebdf3b34,6bba,44b6,25.15356285099915,847,59543,832,803,784,204191,779,2,0,3,1,50808,13049,846,69,14,0,1,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_ebff6e76,6bba,44b6,14.112203737999153,1318,51671,1245,1264,1166,149211,1133,33,0,0,0,39626,23037,1294,291,49,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_ed9377fd,6bba,44b6,1.3107684249989688,531,4352,522,508,497,6662,497,0,0,0,0,3775,1226,529,20,7,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_edf14583,6bba,44b6,14.31786713099973,801,50946,800,760,758,180191,758,15,0,0,0,42751,18470,801,65,1,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_eebc57a5,6bba,44b6,2.3633324050006195,1026,8497,1003,989,961,14922,957,0,0,0,0,7853,2076,1016,121,13,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_ef7b4f7e,6bba,44b6,2.627657363000253,1234,5839,1219,1201,1185,8679,1185,0,0,4,0,5362,2520,1232,63,13,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_f17befbc,6bba,44b6,7.176890704000471,1078,25861,1042,1015,972,81067,960,8,0,0,0,19845,10971,1075,164,33,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_f1fde7e0,6bba,44b6,2.313539665999997,476,7985,466,446,435,20489,435,0,0,0,0,6675,6304,474,71,8,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_f20478e9,6bba,44b6,1.9443027390007046,1003,5244,994,963,950,8937,950,0,0,2,0,4662,2238,1003,105,9,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_f4ae811c,6bba,44b6,2.42104419899988,1001,9341,997,965,961,17307,961,0,0,0,0,7908,2985,1001,38,4,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_f8ffd5e7,6bba,44b6,12.687965795999844,389,31453,387,370,368,82324,366,0,0,4,0,28109,9624,389,30,2,0,2,2,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_fbc898dc,6bba,44b6,1.3416760159998375,655,4977,655,639,639,7309,639,0,0,0,0,4535,1814,655,23,0,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_fc516dc6,6bba,44b6,1.9173877270004596,788,6975,781,762,752,13470,751,0,0,0,0,6315,2199,787,74,6,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_fc5f39dc,6bba,44b6,6.8546362570014026,471,17688,449,458,431,38127,431,0,0,3,0,14338,5598,465,48,16,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_fc83837d,6bba,44b6,3.4168951170013315,957,12254,910,923,866,29234,860,3,0,0,0,8915,7936,946,148,36,0,0,0,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
6bba_fe670320,6bba,44b6,3.9350920489996497,716,9874,710,680,675,24626,674,0,0,3,0,8289,3467,716,62,6,0,1,1,truth-assisted greedy supported links and local timing paths; graph-legal and bank-constrained; not a global upper bound; C0 protection relaxed for headroom,True
